product_category_name,item_count,total_shipping_charges,average_shipping_charge
toys,67027,2986483.81,44.56
health_beauty,2351,100774.25,42.86
bed_bath_table,2146,95180.79,44.35
furniture_decor,1760,78996.7,44.88
sports_leisure,1837,78250.83,42.6
computers_accessories,1715,73718.37,42.98
housewares,1340,59011.91,44.04
watches_gifts,1196,52077.12,43.54
auto,829,35834.1,43.23
telephony,912,35039.7,38.42
garden_tools,807,33764.47,41.84
cool_stuff,718,28879.76,40.22
perfumery,671,28157.37,41.96
baby,621,27282.15,43.93
office_furniture,533,23772.11,44.6
electronics,547,23648.84,43.23
stationery,462,21029.81,45.52
pet_shop,394,18051.8,45.82
fashion_bags_accessories,408,17450.63,42.77
unknown,308,17024.27,55.27
construction_tools_construction,192,8297.57,43.22
consoles_games,156,7953.36,50.98
home_appliances,215,7935.02,36.91
luggage_accessories,178,7741.21,43.49
musical_instruments,150,5983.01,39.89
home_construction,131,5609.81,42.82
small_appliances,117,5383.63,46.01
audio,107,5354.68,50.04
food,59,3981.89,67.49
furniture_living_room,82,3728.33,45.47
fashion_shoes,61,3572.68,58.57
air_conditioning,77,3523.07,45.75
food_drink,65,3418.76,52.6
market_place,84,3358.44,39.98
books_general_interest,82,3309.61,40.36
books_technical,80,3188.75,39.86
agro_industry_and_commerce,67,3055.24,45.6
home_appliances_2,72,3017.44,41.91
costruction_tools_garden,82,2984.82,36.4
tablets_printing_image,64,2962.43,46.29
industry_commerce_and_business,48,2668.71,55.6
signaling_and_security,48,2235.6,46.58
construction_tools_lights,51,2153.32,42.22
kitchen_dining_laundry_garden_furniture,52,2150.85,41.36
drinks,50,2080.7,41.61
computers,53,2049.54,38.67
fixed_telephony,47,1777.8,37.83
home_confort,40,1725.01,43.13
costruction_tools_tools,32,1475.94,46.12
construction_tools_safety,24,1039.89,43.33
christmas_supplies,27,1037.85,38.44
fashion_underwear_beach,16,1013.11,63.32
fashion_male_clothing,21,1005.68,47.89
art,13,617.47,47.5
small_appliances_home_oven_and_coffee,9,463.8,51.53
dvds_blu_ray,10,411.59,41.16
arts_and_craftmanship,4,410.95,102.74
furniture_bedroom,16,408.23,25.51
music,7,337.86,48.27
books_imported,12,305.01,25.42
flowers,6,227.42,37.9
party_supplies,7,183.93,26.28
fashion_sport,3,115.78,38.59
diapers_and_hygiene,1,108.04,108.04
fashio_female_clothing,2,88.81,44.4
cine_photo,5,88.11,17.62
fashion_childrens_clothes,2,81.62,40.81
la_cuisine,4,72.75,18.19
home_comfort_2,1,51.96,51.96
furniture_mattress_and_upholstery,1,16.99,16.99
security_and_services,1,6.31,6.31
