product_category_name,item_count,total_shipment_volume_cm3,average_product_volume_cm3,total_shipping_charges
toys,67012,1033630613,15424.56,2985976.03
office_furniture,533,40404107,75805.08,23772.11
furniture_decor,1760,29655809,16849.89,78996.7
bed_bath_table,2146,29399633,13699.74,95180.79
housewares,1340,29149797,21753.58,59011.91
sports_leisure,1837,21722573,11825.03,78250.83
cool_stuff,718,17228788,23995.53,28879.76
baby,621,17152596,27620.93,27282.15
garden_tools,807,16283014,20177.22,33764.47
health_beauty,2351,16182753,6883.35,100774.25
auto,829,14860832,17926.21,35834.1
computers_accessories,1715,9753723,5687.3,73718.37
stationery,462,9440277,20433.5,21029.81
pet_shop,394,9054375,22980.65,18051.8
luggage_accessories,178,6133748,34459.26,7741.21
unknown,308,4408406,14313.01,17024.27
home_appliances_2,72,3697050,51347.92,3017.44
musical_instruments,150,3637272,24248.48,5983.01
furniture_living_room,82,3562034,43439.44,3728.33
agro_industry_and_commerce,67,3513582,52441.52,3055.24
home_construction,131,3286928,25091.05,5609.81
watches_gifts,1196,3124600,2612.54,52077.12
electronics,547,2902154,5305.58,23648.84
computers,53,2778918,52432.42,2049.54
perfumery,671,2694264,4015.3,28157.37
small_appliances,117,2690715,22997.56,5383.63
home_appliances,215,2600668,12096.13,7935.02
construction_tools_construction,192,2107770,10977.97,8297.57
kitchen_dining_laundry_garden_furniture,52,2021667,38878.21,2150.85
industry_commerce_and_business,48,1938220,40379.58,2668.71
air_conditioning,77,1797934,23349.79,3523.07
telephony,912,1665431,1826.13,35039.7
fashion_bags_accessories,408,1655679,4058.04,17450.63
costruction_tools_garden,82,961242,11722.46,2984.82
signaling_and_security,48,943933,19665.27,2235.6
home_confort,40,934913,23372.82,1725.01
market_place,84,838231,9978.94,3358.44
consoles_games,156,701864,4499.13,7953.36
furniture_bedroom,16,630764,39422.75,408.23
small_appliances_home_oven_and_coffee,9,620185,68909.44,463.8
construction_tools_lights,51,603912,11841.41,2153.32
christmas_supplies,27,553864,20513.48,1037.85
food,59,519121,8798.66,3981.89
fashion_shoes,61,448612,7354.3,3572.68
audio,107,406553,3799.56,5354.68
food_drink,65,397292,6112.18,3418.76
books_general_interest,82,395526,4823.49,3309.61
drinks,50,350790,7015.8,2080.7
tablets_printing_image,64,325368,5083.88,2962.43
fixed_telephony,47,304530,6479.36,1777.8
construction_tools_safety,24,230608,9608.67,1039.89
costruction_tools_tools,32,191380,5980.62,1475.94
fashion_male_clothing,21,187965,8950.71,1005.68
art,13,179308,13792.92,617.47
books_technical,80,149482,1868.52,3188.75
fashion_sport,3,142220,47406.67,115.78
la_cuisine,4,99015,24753.75,72.75
fashion_underwear_beach,16,93240,5827.5,1013.11
party_supplies,7,63389,9055.57,183.93
books_imported,12,35332,2944.33,305.01
music,7,31312,4473.14,337.86
fashion_childrens_clothes,2,24000,12000,81.62
arts_and_craftmanship,4,23133,5783.25,410.95
cine_photo,5,22276,4455.2,88.11
flowers,6,18680,3113.33,227.42
furniture_mattress_and_upholstery,1,18081,18081,16.99
dvds_blu_ray,10,16870,1687,411.59
home_comfort_2,1,8000,8000,51.96
diapers_and_hygiene,1,7105,7105,108.04
security_and_services,1,6292,6292,6.31
fashio_female_clothing,2,1952,976,88.81
