product_category_name,item_count,total_weight_shipped_g,average_product_weight_g,total_shipping_charges
toys,67012,139978956,2088.86,2985976.03
office_furniture,533,6181071,11596.76,23772.11
housewares,1340,4126583,3079.54,59011.91
bed_bath_table,2146,4053324,1888.78,95180.79
furniture_decor,1760,3854739,2190.19,78996.7
sports_leisure,1837,3162416,1721.51,78250.83
computers_accessories,1715,2552401,1488.28,73718.37
cool_stuff,718,2184754,3042.83,28879.76
garden_tools,807,2159071,2675.43,33764.47
auto,829,1984624,2394,35834.1
baby,621,1943619,3129.82,27282.15
health_beauty,2351,1806113,768.23,100774.25
pet_shop,394,1431490,3633.22,18051.8
stationery,462,897624,1942.91,21029.81
unknown,308,726525,2358.85,17024.27
home_appliances_2,72,705836,9803.28,3017.44
furniture_living_room,82,674275,8222.87,3728.33
luggage_accessories,178,649702,3650.01,7741.21
watches_gifts,1196,560232,468.42,52077.12
construction_tools_construction,192,551007,2869.83,8297.57
computers,53,501700,9466.04,2049.54
musical_instruments,150,475554,3170.36,5983.01
electronics,547,457742,836.82,23648.84
home_construction,131,436156,3329.44,5609.81
small_appliances,117,403403,3447.89,5383.63
kitchen_dining_laundry_garden_furniture,52,368661,7089.63,2150.85
agro_industry_and_commerce,67,347944,5193.19,3055.24
air_conditioning,77,339000,4402.6,3523.07
industry_commerce_and_business,48,319375,6653.65,2668.71
home_appliances,215,298629,1388.97,7935.02
perfumery,671,279929,417.18,28157.37
telephony,912,261984,287.26,35039.7
fashion_bags_accessories,408,184111,451.25,17450.63
signaling_and_security,48,144408,3008.5,2235.6
home_confort,40,140100,3502.5,1725.01
furniture_bedroom,16,122500,7656.25,408.23
costruction_tools_garden,82,110195,1343.84,2984.82
food,59,109752,1860.2,3981.89
market_place,84,88150,1049.4,3358.44
books_general_interest,82,80089,976.7,3309.61
books_technical,80,72464,905.8,3188.75
consoles_games,156,69435,445.1,7953.36
christmas_supplies,27,66383,2458.63,1037.85
food_drink,65,61691,949.09,3418.76
fashion_shoes,61,60350,989.34,3572.68
drinks,50,54095,1081.9,2080.7
construction_tools_lights,51,51840,1016.47,2153.32
art,13,42350,3257.69,617.47
fixed_telephony,47,42092,895.57,1777.8
costruction_tools_tools,32,37008,1156.5,1475.94
audio,107,32718,305.78,5354.68
construction_tools_safety,24,22056,919,1039.89
tablets_printing_image,64,19541,305.33,2962.43
party_supplies,7,14150,2021.43,183.93
la_cuisine,4,14100,3525,72.75
fashion_male_clothing,21,12850,611.9,1005.68
small_appliances_home_oven_and_coffee,9,10500,1166.67,463.8
books_imported,12,9550,795.83,305.01
fashion_underwear_beach,16,4750,296.88,1013.11
flowers,6,4700,783.33,227.42
music,7,4566,652.29,337.86
fashion_sport,3,3500,1166.67,115.78
arts_and_craftmanship,4,3100,775,410.95
dvds_blu_ray,10,2975,297.5,411.59
furniture_mattress_and_upholstery,1,1850,1850,16.99
cine_photo,5,1800,360,88.11
fashio_female_clothing,2,750,375,88.81
diapers_and_hygiene,1,700,700,108.04
home_comfort_2,1,663,663,51.96
fashion_childrens_clothes,2,600,300,81.62
security_and_services,1,400,400,6.31
